OriginalPaperDOI,test
10.1016/j.ejrs.2014.03.001,1
10.1016/j.oceaneng.2014.02.028,1
10.1016/S0899-9007(02)90845-2,1
10.1016/S0300-483X(02)00388-8,1
10.1016/S0300-483X(02)00028-8,1
10.1016/S0959-3780(00)00058-3,1
10.1016/S0169-4332(01)90582-3,1
10.1016/S1364-6826(01)00115-8,1
10.1053/ejvx.2000.0005,1
10.1016/S0168-1699(02)00103-5,1
10.1016/S0168-9525(01)02533-1,1
10.1053/ejso.2000.1036,1
10.1016/S0370-2693(01)00865-6,1
10.1016/S0379-6779(00)01353-9,1
10.1016/S0006-8993(01)02789-5,1
10.1016/S0166-1280(99)00210-9,1
10.1016/S0924-0136(98)00400-2,1
10.1006/mchj.1999.1723,1
10.1016/S0387-7604(00)00138-8,1
10.1016/S0022-1910(99)00160-2,1
10.1016/S0266-3538(99)00163-3,1
10.1016/S0266-3538(98)00079-7,1
10.1016/S0378-8741(99)00177-4,1
10.1016/S0168-583X(99)00542-X,1
10.1016/S0032-9592(00)00126-6,1
10.1016/S0956-5663(98)00025-6,1
10.1016/j.rinp.2017.02.001,1
10.1016/j.rinp.2016.12.015,1
10.1016/j.rinp.2016.12.016,1
10.1016/j.matlet.2017.01.078,1
10.1016/j.energy.2017.09.076,1
10.1016/j.micpro.2017.03.003,1
10.1016/j.soildyn.2017.07.013,1
10.1016/S0092-8674(00)81866-8,1
10.1016/S1049-3867(05)80247-6,1
10.1016/S0014-5793(98)00340-8,1
10.1016/j.respol.2007.07.005,1
10.1016/S0143-4179(96)90052-9,1
10.1016/0021-8693(92)90062-Q,1
10.1016/S0167-8809(97)00053-4,1
10.1016/0168-583X(95)00853-5,1
10.1016/0196-8904(93)90092-O,1
10.4236/ojfd.2016.63018,1
10.1002/pssc.201600051,1
10.1016/j.evopsy.2014.02.004,1
10.1016/j.bionut.2014.07.004,1
10.1016/j.egja.2013.09.007,1
10.1016/j.sandf.2014.04.020,1
10.1016/j.mssp.2014.05.011,1
10.1016/j.proeng.2013.10.003,1
10.1016/j.nuclphysa.2014.02.001,1
10.1016/j.gsf.2013.03.005,1
10.1016/j.msea.2014.03.085,1
10.5897/AJB2003.000-1125,1
10.2967/jnumed.111.091231,1
10.1128/MCB.00802-12,1
10.1371/journal.pone.0172470,1
10.1021/je900447n,1
10.5455/ijmsph.2016.28012016346,1
10.1016/j.patcog.2017.07.015,1
10.1128/JVI.01208-12,1
10.4172/2327-5146.1000114,1
10.1016/j.jacl.2015.03.060,1
10.1016/j.compedu.2015.03.002,1
10.1016/j.apsusc.2014.11.042,1
10.1016/j.ijans.2014.06.004,1
10.1016/j.marpol.2015.01.006,1
10.1016/j.ijleo.2014.11.005,1
10.1016/j.optcom.2015.02.052,1
10.1016/j.aeue.2015.02.002,1
10.1016/j.carbpol.2014.12.053,1
10.1016/j.yexcr.2015.01.008,1
10.1016/j.ejpe.2013.11.010,1
10.1016/j.matchar.2015.01.012,1
10.1016/j.procs.2015.06.040,1
10.1016/j.procs.2015.02.019,1
10.1016/j.procs.2015.04.123,1
10.1016/j.msea.2014.12.066,1
10.7314/APJCP.2014.15.2.677,1
10.1093/nsr/nww065,1
10.1016/j.ceramint.2013.01.028,1
10.1109/ICBMEI.2011.5921032,1
10.1109/ICBMEI.2011.5918019,1
10.1109/ICBMEI.2011.5921186,1
10.1109/ICBMEI.2011.5920493,1
10.1109/ICBMEI.2011.5916853,1
10.1109/ICBMEI.2011.5920978,1
10.1109/ICBMEI.2011.5916942,1
10.1109/ICBMEI.2011.5920425,1
10.1109/ICBMEI.2011.5920427,1
10.1109/ICBMEI.2011.5920410,1
10.1109/ICBMEI.2011.5920949,1
10.1109/ICBMEI.2011.5918014,1
10.1109/ICBMEI.2011.5917048,1
10.1109/ICBMEI.2011.5917047,1
10.1109/ICBMEI.2011.5917945,1
10.1109/ICBMEI.2011.5920982,1
10.1109/ICBMEI.2011.5917002,1
10.1016/j.jicc.2015.03.012,1
10.1109/ICBMEI.2011.5916921,1
10.1016/j.jicc.2015.03.013,1
10.1109/ICBMEI.2011.5920496,1
10.1016/j.jicc.2015.03.009,1
10.1109/ICBMEI.2011.5916976,1
10.1016/j.jicc.2015.03.007,1
10.1016/j.porgcoat.2014.07.010,1
10.1109/ICBMEI.2011.5921017,1
10.1016/j.porgcoat.2015.02.004,1
10.1016/j.porgcoat.2015.03.009,1
10.1016/j.porgcoat.2015.01.008,1
10.1109/ICBMEI.2011.5921088,1
10.1016/j.porgcoat.2015.06.023,1
10.1109/ICBMEI.2011.5920485,1
10.1016/B978-0-12-803365-4.00050-6,1
10.1016/B978-0-12-803365-4.00044-0,1
10.1109/ICBMEI.2011.5917850,1
10.1016/B978-0-12-803365-4.00041-5,1
10.1016/B978-0-12-803365-4.00016-6,1
10.1016/B978-0-12-803365-4.00035-X,1
10.1016/B978-0-12-803365-4.00047-6,1
10.1016/B978-0-12-803365-4.00007-5,1
10.1016/B978-0-12-803365-4.00017-8,1
10.1016/B978-0-12-803365-4.00045-2,1
10.1109/ICBMEI.2011.5920931,1
10.1016/B978-0-12-803365-4.00032-4,1
10.1016/B978-0-12-803365-4.00013-0,1
10.1016/B978-0-12-803365-4.00053-1,1
10.1016/B978-0-12-803365-4.00046-4,1
10.1016/B978-0-12-803365-4.00012-9,1
10.1016/B978-0-12-803365-4.00018-X,1
10.1109/ICBMEI.2011.5920362,1
10.1016/B978-0-12-803365-4.00043-9,1
10.1016/B978-0-12-803365-4.00022-1,1
10.1016/B978-0-12-803365-4.00015-4,1
10.1109/ICBMEI.2011.5920368,1
10.1016/B978-0-12-803365-4.00040-3,1
10.1016/B978-0-12-803365-4.00008-7,1
10.1109/ICBMEI.2011.5916991,1
10.1016/B978-0-12-803365-4.00052-X,1
10.1016/B978-0-12-803365-4.00048-8,1
10.1016/B978-0-12-803365-4.00005-1,1
10.1016/B978-0-12-803365-4.00033-6,1
10.1016/B978-0-12-803365-4.00002-6,1
10.1016/B978-0-12-803365-4.00003-8,1
10.1016/B978-0-12-803365-4.00004-X,1
10.1016/B978-0-12-803365-4.00014-2,1
10.1016/B978-0-12-803365-4.00039-7,1
10.1016/B978-0-12-803365-4.00030-0,1
,1
,1
10.1016/B978-0-12-803365-4.00027-0,1
10.1016/B978-0-12-803365-4.00029-4,1
10.1016/B978-0-12-803365-4.00038-5,1
10.1016/B978-0-12-803365-4.00001-4,1
10.1016/B978-0-12-803365-4.00049-X,1
10.1016/B978-0-12-803365-4.00023-3,1
10.1016/B978-0-12-803365-4.00037-3,1
10.1016/B978-0-12-803365-4.00010-5,1
10.1016/B978-0-12-803365-4.00011-7,1
10.1016/B978-0-12-803365-4.00020-8,1
10.1016/B978-0-12-803365-4.00026-9,1
10.1016/B978-0-12-803365-4.00021-X,1
10.1016/B978-0-12-803365-4.00034-8,1
10.1016/B978-0-12-803365-4.00006-3,1
10.1016/B978-0-12-803365-4.00024-5,1
10.1016/B978-0-12-803365-4.00036-1,1
10.1016/B978-0-12-803365-4.00019-1,1
10.1016/B978-0-12-803365-4.00031-2,1
10.1016/B978-0-12-803365-4.00009-9,1
10.1016/B978-0-12-803365-4.00028-2,1
10.1109/ICBMEI.2011.5920998,1
10.1016/j.solener.2016.05.042,1
10.1109/ICBMEI.2011.5916922,1
10.1109/ICBMEI.2011.5916907,1
10.1016/j.cnre.2015.12.001,1
10.1016/j.tsf.2016.05.002,1
10.1016/j.egypro.2016.07.169,1
10.1016/j.rsase.2016.04.004,1
10.1016/j.canlet.2016.01.023,1
10.1016/j.jbiotec.2016.03.015,1
10.1016/j.apenergy.2015.11.026,1
10.1016/j.bbrc.2016.05.128,1
10.1016/j.jafrearsci.2016.06.005,1
10.1016/j.jappgeo.2015.11.019,1
10.1016/j.ceramint.2016.01.031,1
10.1016/j.protcy.2016.08.093,1
10.1016/S1006-706X(16)30143-1,1
10.1016/j.biopha.2016.02.042,1
10.1016/j.matpr.2016.03.055,1
10.1016/j.resourpol.2016.02.002,1
10.1016/j.etap.2017.02.008,1
10.1016/j.gene.2017.07.018,1
10.1016/j.pdpdt.2017.01.148,1
10.1016/j.acthis.2017.04.005,1
10.1016/j.jmsy.2016.12.004,1
10.1016/j.orcp.2015.09.006,1
10.1016/j.jcis.2016.11.043,1
10.1016/j.tsf.2005.11.107,1
10.1007/978-3-319-57931-3_21,1
10.1177/0021909614547601,1
10.1177/0218492315589200,1
10.1177/0954405411412866,1
10.1177/1077546316656989,1
10.1177/0038038510362483,1
10.1080/13873950701214424,1
10.1007/s00607-017-0565-6,1
10.1051/matecconf/20152201012,1
10.1139/e10-900,1
10.1209/0295-5075/87/47007,1
10.1143/JJAP.46.L7,1
10.1088/2051-672X/2/2/024003,1
10.1088/0253-6102/57/1/17,1
10.1088/1748-0221/8/09/C09006,1
10.1111/joss.12117,1
10.1017/S1368980016000458,1
10.1063/1.4945002,1
10.1088/1674-1056/26/11/113301,1
10.1111/ijac.12591,1
10.1016/j.genhosppsych.2017.04.008,1
10.1016/j.toxlet.2017.08.005,1
10.20964/2017.03.52,1
10.1155/2012/193246,1
10.3389/fpsyg.2016.01298,1
10.1038/nchem.2551,1
10.1016/j.freeradbiomed.2011.11.027,1
10.2308/jmar.2002.14.1.189,1
10.2308/aud.2001.20.1.157,1
10.2308/aud.2000.19.s-1.5,1
10.2308/accr.2006.81.1.207,1
10.2308/acch.2002.16.2.125,1
10.2308/acch-10451.s02,1
10.2308/acch.1999.13.1.1,1
10.2308/acch.2005.19.2.85,1
10.2308/acch-10452.s02,1
10.2308/jis.2004.18.2.7,1
10.2308/jis.2002.16.s-1.69,1
10.2308/jis.2002.16.1.31,1
10.2308/jis.2005.19.2.111,1
10.2308/jis.2003.17.2.87,1
10.2308/jis.2010.24.1.67,1
10.2308/isys-50244,1
10.1111/j.1911-3846.2011.01100.x,1
10.2308/accr.2010.85.3.911,1
10.1109/SMIC.2008.8,1
10.1109/CICC.2006.321011,1
10.1109/ISSCC.2004.1332736,1
10.1109/VLSIC.2004.1346630,1
10.1109/VLSIC.2004.1346631,1
10.1109/ESSCIR.2004.1356693,1
10.1109/CICC.2004.1358760,1
10.1109/JSSC.2004.838004,1
10.1109/VLSIC.2005.1469367,1
10.1109/VLSIC.2005.1469378,1
10.1109/RFIC.2005.1489795,1
10.1109/RFIC.2005.1489633,1
10.1109/RFIC.2005.1489827,1
10.1109/ESSCIR.2005.1541567,1
10.1109/BIPOL.2005.1555209,1
10.1109/CICC.2005.1568726,1
10.1109/CICC.2005.1568624,1
10.1109/VLSIC.2006.1705302,1
10.1109/CSICS.2006.319930,1
10.1109/CICC.2006.320876,1
10.1109/RWS.2007.351759,1
10.1109/RWS.2007.351799,1
10.1109/RWS.2007.351859,1
10.1109/RWS.2007.351736,1
10.1109/RFIC.2007.380977,1
10.1109/RFIC.2007.380870,1
10.1109/JSSC.2007.900764,1
10.1109/JSSC.2007.905228,1
10.1109/VLSIC.2007.4342720,1
10.1109/VLSIC.2007.4342722,1
10.1109/JSSC.2007.907171,1
10.1109/BIPOL.2007.4351850,1
10.1109/BIPOL.2007.4351825,1
10.1109/BIPOL.2007.4351845,1
10.1109/SMIC.2008.7,1
10.1109/CICC.2007.4405690,1
10.1109/RWS.2008.4463610,1
10.1109/RWS.2008.4463509,1
10.1109/RWS.2008.4463426,1
10.1109/RWS.2008.4463459,1
10.1109/ISSCC.2008.4523195,1
10.1109/JSSC.2006.870914,1
10.1109/RFIC.2006.1651122,1
10.1109/RFIC.2006.1651161,1
10.1109/JSSC.2006.880589,1
10.1109/BIPOL.2006.311173,1
10.1109/BIPOL.2006.311164,1
10.1109/BIPOL.2006.311171,1
10.1080/01973533.2010.540135,1
10.1007/978-1-4419-6953-8_4,1
10.1027/1864-9335.39.4.222,1
10.1016/j.jesp.2005.02.002,1
10.1521/soco.2006.24.6.703,1
10.1080/15298860701438414,1
10.1521/soco.2011.29.3.238,1
10.1080/10463280903119060,1
10.1016/j.jesp.2006.07.007,1
10.1002/ejsp.491,
10.1006/jesp.1997.9997,
10.1002/ejsp.783,
10.1080/01973530903539812,
10.1002/ejsp.361,
10.1080/15298861003680117,
10.1016/j.jenvp.2010.06.002,
10.1002/ejsp.369,
10.1002/ejsp.591,
10.1006/obhd.1998.2802,
10.1016/j.jesp.2009.10.001,
10.1016/j.jesp.2005.05.006,
10.1159/000222127,
10.1093/bja/aep062,
unavailable,
unavailable,
10.1089/cbr.2014.1766,
10.1089/cbr.2014.1723,
10.1039/c7cp06480b,
10.7150/jca.15753,
10.1542/peds.2016-2539,
10.1007/s10530-017-1512-3,
10.1016/j.cja.2014.12.018,
10.1134/S0001434608030218,
10.1007/s12639-012-0185-1,
10.1016/j.bone.2004.09.018,
10.1016/j.bone.2006.04.025,
10.1111/j.1471-4159.2008.05353.x,
10.1016/S8756-3282(02)00783-4,
10.7314/APJCP.2012.13.3.1043,
10.1128/AEM.03445-16,
10.1039/C7RA03797J,
10.3389/fmicb.2016.01307,
10.3389/fphar.2017.00301,
10.3389/fmicb.2015.01167,
10.3389/fcimb.2015.00057,
10.1136/bjsm.2006.028944,
10.1016/j.acpain.2005.05.002,
10.1016/j.acpain.2004.09.001,
10.1097/00000542-200603000-00006,
10.1016/S0140-6736(17)32752-6,
10.1161/CIRCHEARTFAILURE.117.003960,
10.1109/ICBMEI.2011.5920963,
10.1109/ICBMEI.2011.5920544,
10.1109/ICBMEI.2011.5920523,
10.1109/ICBMEI.2011.5920354,
10.1103/PhysRevA.96.043821,
10.1128/genomeA.00731-17,
10.1177/1088868317725419,
10.1213/01.ane.0000237279.08847.2d,
10.1190/segam2017-17444216.1,
10.1016/j.epsl.2007.07.046,
unavailable,
unavailable,
unavailable,
unavailable,
unavailable,
unavailable,
unavailable,
unavailable,
unavailable,
unavailable,
unavailable,
unavailable,
unavailable,
unavailable,
unavailable,
unavailable,
10.1109/ICBMEI.2011.5917900,
unavailable,
